Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
143333,0.49485667,0.33297957,0.41990941,0.03718751000670904,0.14733369681445407,38919.0,0.6555687,0.45191724
143701,0.49485667,0.3332948,0.41987161,0.03718751000670904,0.14733369681445407,39016.0,0.65567636,0.45191724
144389,0.49485667,0.33382448,0.41969301,0.03718751000670904,0.14733369681445407,39201.0,0.65517704,0.45768472
145366,0.49485667,0.33451365,0.41945326,0.03718751000670904,0.14733369681445407,39464.0,0.65488962,0.46400416
149164,0.49485667,0.33561148,0.41879838,0.03718751000670904,0.14733369681445407,40508.0,0.65180325,0.46290068
157587,0.49485667,0.34012292,0.41788938,0.03718751000670904,0.14733369681445407,42786.0,0.64742173,0.48817297
173231,0.49485667,0.34746914,0.41677546,0.03718751000670904,0.14733369681445407,47009.0,0.64378356,0.42724227
233086,0.49499066,0.37041807,0.41527935,0.03718751000670904,0.14733369681445407,63144.0,0.63233952,0.39287579
233925,0.49499066,0.37039099,0.41504444,0.03718751000670904,0.14733369681445407,63376.0,0.62979273,0.45194313
234696,0.49499066,0.37034934,0.4147359,0.03718751000670904,0.14733369681445407,63596.0,0.62694901,0.46718357
236399,0.49499066,0.37068966,0.41451118,0.03718751000670904,0.14733369681445407,64060.0,0.6256522,0.47867656
237627,0.49499066,0.37087864,0.41441168,0.03718751000670904,0.14733369681445407,64392.0,0.62509833,0.47867656
247822,0.49499066,0.3726647,0.4140535,0.03718751000670904,0.14733369681445407,67167.0,0.62089108,0.48906791
264336,0.49499066,0.37662888,0.41347845,0.03718751000670904,0.14733369681445407,71605.0,0.61690578,0.47786622
307727,0.49499066,0.38462906,0.41245043,0.03718751000670904,0.14733369681445407,83304.0,0.60752537,0.40220177
317977,0.49499066,0.38609643,0.41206345,0.03718751000670904,0.14733369681445407,86102.0,0.60501593,0.38413843
319225,0.49499066,0.38629532,0.41172497,0.03718751000670904,0.14733369681445407,86450.0,0.60415814,0.49235864
321630,0.49485667,0.38657945,0.4113429,0.03718751000670904,0.14733369681445407,87101.0,0.60356521,0.49337978
335796,0.49485667,0.38922148,0.41084023,0.03718751000670904,0.14733369681445407,90928.0,0.60062419,0.49501387
414826,0.49487215,0.40218865,0.40958136,0.03718751000670904,0.14733369681445407,112259.0,0.59282883,0.48036961
634646,0.49501387,0.42126528,0.40809716,0.03718751000670904,0.14733369681445407,171568.0,0.5794568,0.46960903
635880,0.49501387,0.4212177,0.40806942,0.03718751000670904,0.14733369681445407,171903.0,0.57904523,0.46960903
